song,Artist,Genres,Songwriter,Lyrics,
Automatic,Hikaru Utada,"anime,classic j-pop,j-pop,japanese singer-songwriter",Hikaru Utada,"Nanakaime no beru de
Juwaki wo totta kimi
Namae wo iwanakutemo
Koe de sugu wakatte kureru

Kuchibiru kara shizen to
Kobore ochiru merodii
Demo kotoba o ushinatta shunkan ga
Ichiban shiawase

Iya na koto ga atta hi mo
Kimi ni au to zenbu FUtton jau yo
Kimi ni aenai my rainy days
Koe o kikeba jidouteki ni
Sun will shine

It's automatic
Soba ni iru dake de
Sono me ni mitsumerareru dake de
doki doki tomaranai
(I don't know why)
No to wa ienai
I just can't help

It's automatic
Dakishimerareru to
Kimi to paradise ni iru mitai
kirakira mabushikute
(I don't know why)
Me o tsuburu to sugu
I feel so good
It's automatic

Aimai na taido ga
Mada fuan ni saseru kara
Kon'na ni horeteru koto wa
Mou sukoshi himitsu ni shite oku yo
Yasashisa ga tsurakatta hi mo
Itsumo hontou no koto o itte kureta
Hitori ja naketai rainy days
Yubiwa o sawareba
Hora ne sun will shine

It's automatic
Soba ni iru dake de
Karadajuu ga atsuku natte kuru
harahara kakusenai
(I don't know why)
Iki sae dekinai
I just can't help

It's automatic
akusesu shite miru to
Utsuru computer screen no naka
chikachika shiteru moji
(I don't know why)
Te o atete miru to
I feel so warm

It's automatic
Soba ni iru dake de
Itoshii nante omowanai
Tada hitsuyou na dake
(I don't know why)
Sabishii kara ja nai
I just need you

It's automatic
Dakishimerareru to
Kimi to paradise ni iru mitai
kirakira mabushikute
(I don't know why)
Wo wo yeah
I feel so good
It's automatic",
Kitty Girl ,"RuPaul,The Cast of Rupaul's Drag Race All Stars, Season 3","dance pop,diva house,pop,strut","RuPaul, Kennedy Davenport, Shangela, Bebe Zahara Benet, Trixie Mattel","Know you're sexy and keep slaying the game
Let the world remember your name
Feel your puss down deep in your soul
Let your body lose control

Hey kitty girl
It's your world
When you walk the street
Steppin' to the beat
Hey kitty girl
Get your twirl
In the disco heat
You're the boogie-body-rockin' queen


Step aside, I'm back again
So hype, so lit, adrenaline
I'm Shangela, say what?
Started as a baby, now I'm all grown up
Gonna take this verse just to let you know
Don't listen to the haters, be a pro
'Cause I worked my way, paid my dues
Now I got the whole world singing ""halleloo!""


Hey kitty girl
It's your world
When you walk the street
Steppin' to the beat
Hey kitty girl
Get your twirl
In the disco heat
You're the boogie-body-rockin' queen

Mirror, mirror on the wall
Who's the fiercest of them all?
Face, face, face, body and all
Another day, another slay
Meow meow, savage beauty
Stepping out on a mission
Get fierce, stay ready
The OG's back for another crown, uh

It's your world
When you walk the street
Steppin' to the beat
Hey kitty girl
Get your twirl
In the disco heat
You're the boogie-body-rockin' queen
[Verse 4]
Steppin' to the plate, I'm Trixie Mattel
I got my name in the game, better learn it well
'Cause I'm the MVP heading up to bat
And I'd go to third base, but I'd never tell that
I got bleach in the blonde like Pamela
And I'm steppin' out the box like Shangela
I got long thick legs, a tarantula
And if you call me kitty girl, I can handle ya
Uh!

It's your world
When you walk the street
Steppin' to the beat
Hey kitty girl
Get your twirl
In the disco heat
You're the boogie-body-rockin' queen

In the disco heat
You're the boogie-body-rockin' queen
In the disco heat
You're the boogie-body-rockin' queen",
Glamazon,RuPaul,"dance pop,diva house,pop,strut","Lucian Piane, Rupaul","Everybody wants her, Miss Sexy in the city
She's on the prowl, she rock this town
Who's that girl? A fly ferocious lady
Get up and dance, get up, get up and
""Sashay! Shantay! Panther on the runway""
Do it, do it, oh-oh
All the girls say
""Sashay! Shantay! Panther on the runway""
Do it, do it, oh-oh
All the boys say, ""Welcome to the jungle""
She's so wild, so animal
She's gonna work that sexy body, so sexual
She's like a female phenomenon, she's a glamazon
A female phenomenon, a glama-z-a-a-on
She's so wild, so animal
She's gonna work that sexy body, so sexual
She's like a female phenomenon, she's a glamazon
A female phenomenon, a glama-z-a-a-on
Nobody do it like her, she taking names and kicking-
Ask, you shall receive, what do you need?
It's all right, it's all about the body
Tonight's the night, get up, get up and
""Sashay! Shantay! Panther on the runway""
Do it, do it, oh-oh
All the girls say
""Sashay! Shantay! Panther on the runway""
Do it, do it, oh-oh
All the boys say, ""Welcome to the jungle""
She's so wild, so animal
She's gonna work that sexy body, so sexual
She's like a female phenomenon, she's a glamazon
A female phenomenon, a glama-z-a-a-on
She's so wild, so animal
She's gonna work that sexy body, so sexual
She's like a female phenomenon, she's a glamazon
A female phenomenon, a glama-z-a-a-on
Ladyboys and girls
And those who dream to rule the world
Smokey eyes, cherry lips
Stilettos on, now break it down
Oh-oh, oh, oh-oh
Oh-oh, she's a glamazon
Oh-oh, oh, oh-oh
Oh-oh, she's a glamazon (Get up and)
""Sashay! Shantay! Panther on the runway""
Do it, do it, oh-oh
All the girls say
""Sashay! Shantay! Panther on the runway""
Do it, do it, oh-oh
All the boys say, ""She's so bloody tall""
She's so wild, so animal
She's gonna work that sexy body, so sexual
She's like a female phenomenon, she's a glamazon
A female phenomenon, a glama-z-a-a-on
She's so wild, so animal
She's gonna work that sexy body, so sexual
She's like a female phenomenon, she's a glamazon
A female phenomenon, a glama-z-a-a-on",
In This Life,Delta Goodrem,"australian pop,australian talent show,dance pop,europop","Crichton Stuart John, Goodrem Delta Lea","I was nurtured
I was sheltered,
I was curious and young.
I was searchin' for that something,
Tryin' to find it on the run.
Oh and just when I stopped lookin',
I saw just how far I'd come.
In this life
In this life

You give me love,
You give me light,
Show me everythings been happenin',
I've opened up my eyes,
I'm followin'
3 steps fight an honest fight, (oh)
2 hearts, they can start a fire, (yeah yeah)
1 love is all I need in this life (oh)

Yeah, yeah, yeah yeah
In this life

I have faltered
I have stumbled,
I have found my feet again.
I've been angry,
And I've been shaken,
Found a new place to begin.
And my persistence to make a difference,
Has led me safe into your hands.
In this life
In this life

You give me love,
You give me light,
Show me everythings been happenin',
I've opened up my eyes,
I'm followin'
3 steps fight an honest fight, (oh)
2 hearts, they can start a fire, (yeah yeah)
1 love is all I need in this life (oh)


In this life
Yeah, yeah, yeah yeah

I was put here for a reason,
I was born into this world.
And I'm living, and I'm believing
That I was meant to be your girl

In this life
In this life

You give me love,
You give me light,
Show me everythings been happenin',
I've opened up my eyes,
I'm followin'
3 steps fight an honest fight, (oh)
2 hearts, they can start a fire, (yeah yeah)
1 love is all I need in this life (oh)

3 steps fight an honest fight (oh)
2 hearts, they can start a fire (yeah yeah)
1 love is all I need
In this life (oh)

Yeah, yeah, yeah yeah
In this life
Yeah, yeah, yeah yeah
In this life

In this life
Yeah, yeah, yeah yeah",
Read U Wrote U (Ellis Miah Mix),"RuPaul,The Cast of RuPaul's Drag Race All Stars, Season 2","dance pop,diva house,pop,strut","Rupaul, Alaska, Detox, Katya Zamolodchikova, Roxxy Andrews","
Wrote you, told you, now I- now I read you, read you
Wrote you, told you, now I- now I read you, read you
Wrote you, told you, now I- now I read you, read you
Wrote you, told you, now I- now I read you
You've been read

I'm the one, one, one
I'm- I'm the one, one, one, one
I'm the one, one, one
I'm- I'm the one

Yekaterina Petrovna Zamolodchikova
But your dad just calls me Katya
I'm the bright red scare with the long blonde hair
Always keep 'em coming back for more
You're a basic ass hoe and it's your time to go
So bitch let me show you the door
Cause it's me whose getting laid and I'm always getting paid;
The only high class Russian whore
I'm a scorching hot mess in a skin tight dress
That's a rash, not a herpes sore
Lenin in the streets, Dostoyevsky in the sheets
Baby, are you ready for this Cold War?
Katya Zamolodchikova

Wrote you, told you, now I- now I read you, read you
Wrote you, told you, now I- now I read you, read you
Wrote you, told you, now I- now I read you, read you
Wrote you, told you, now I- now I read you
You've been read

I'm the one, one, one
I'm- I'm the one, one, one, one
I'm the one, one, one
I'm- I'm the one

I'm Roxxxy Andrews and I'm here to make it clear
I know you love me, baby, that's why you brought me here
Was a bitch on Season 5, I'm gonna make it right
Give me a sewing challenge and I'll give you what you like
I'm full of tricks, baby, just like on Halloween
A room full of monsters and it makes me wanna scream
I have to get this right so you don't waste your time
Not like my comedy, I'm killing on this rhyme
I'm gonna show you what I can do
You're going crazy and seeing two
It's not my fault, you can't blame my game
All these other hoes, but they're all the same

Wrote you, told you, now I- now I read you, read you
Wrote you, told you, now I- now I read you, read you
Wrote you, told you, now I- now I read you, read you
Wrote you, told you, now I- now I read you
You've been read

I'm the one, one, one
I'm- I'm the one, one, one, one
I'm the one, one, one
I'm- I'm the one

Wrote you, wrote you, told you, now I-
Wrote you, wrote you, told you, now I read you, read you",
Cold Hearted,Paula Abdul,"dance pop,new wave pop,soft rock,urban contemporary",Elliot Wolff,"He's a coldhearted snake lookin into his eyes
Oh, oh he's been telling lies he's a lover boy at play
He don't play by the rules oh, oh, oh
Girl don't play the fool now
You're the one givin' up the love any time he needs it
But you turn your back and then he's off and running with the crowd
You're the one to sacrifice, anything to please him
Do you really think he thinks about you when he's out?
He's a coldhearted snake lookin into his eyes
Oh, oh he's been telling lies he's a lover boy at play
He don't play by the rules oh, oh, oh
Girl don't play the fool now
It was only late last night he was out there sneakin'
Then he called you up to check that you were waiting by the phone
All the world's a candy store
He's been trick or treatin'
When it comes to true love girl with him there's no one home
He's a coldhearted snake look into his eyes
Oh, oh he's been telling lies he's a lover boy at play
He don't play by the rules oh, oh, oh
Girl don't play the fool now
You can find somebody better girl
He could only make you cry
You deserve somebody better girl
He's c-cold as ice
Co-co-co-cold hearted oh, ah, ah
Co-co-co-cold hearted snake
Co-co-co-cold hearted oh, ah, ah
Co-co-co-cold hearted snake
He's a coldhearted snake look into his eyes
Oh, oh he's been telling lies he's a lover boy at play
He don't play by the rules oh, oh, oh
Girl don't play the fool now
He's a coldhearted snake look into his eyes
Oh, oh he's been telling lies
He's a lover boy at play
He don't play by the rules oh, oh, oh
Girl don't play the fool now",
If I Fall,Tara MacLean,"ectofolk,lilith,pei indie",Tara MacLean,"It seems so far to go
It took so long to get here
Now I'm saying things I swore I'd never say
And I'm afraid again

I thought I had it in me
I used to be so sure
There I was stronger than ever
And here I am blaming the hurt

And if I fall, I will find a way back to my hands
I'm the only one who can help me find my feet again

Sweet little fighter
Sweet little scar
Sweet little fire
In my heart

It seems so easy now
Everything I dreamed about when I was a child
It looks like a good thing's here
And I think I'll stay for a while

And if I fall, I will find a way back to my hands
I'm the only one who can help me find my feet again",
New Attitude,Patti LaBelle,"contemporary r&b,disco,funk,motown,neo soul,philly soul,post-disco,quiet storm,r&b,soul,urban contemporary","Sharon Robinson, Jon Gilutin, Bunny Hull","Runnin' hot, runnin' cold
I was runnin' into overload
It was extreme, ex-ex-ex-ex-ex-extreme
It took it so high, so low
So low, there was nowhere to go
Like a dream
Somehow the wires uncrossed, the tables were turned
Never knew I had such a lesson to learn
I'm feelin' good from my head to my shoes
Know where I'm goin' and I know what to do
I tidied up my point of view
I got a new attitude
I'm in control, my worries are few
'Cause I've got love like I never knew
Ooh, ooh, ooh, ooh, ooh
I got a new attitude
I'm wearing a new dress (New), new hair (New)
Brand new ideas, as a matter of fact I've changed for good
It must have been the cool night, new moon, new slight change
??? More than to figure??? But I feel like I should, yes
Somehow the wires uncrossed, the tables were turned
Never knew I had such a lesson to learn
I'm feelin' good from my head to my shoes
Know where I'm goin' and I know what to do
I tidied up my point of view
I got a new attitude
I'm in control, my worries are few
'Cause I've got love like I never knew
Ooh, ooh, ooh, ooh, ooh
I got a new attitude
Ooh, ooh, ooh, ooh, ooh, ooh... Ooh...
Somehow the wires uncrossed, the tables were turned
Never knew I had such a lesson to learn
I'm feelin' good from my head to my shoes
Know where I'm goin' and I know what to do
I tidied up my point of view
I got a new attitude
I'm in control, my worries are few
'Cause I've got love like I never knew
Ooh, ooh, ooh, ooh, ooh
I got a new attitude
Ooh, ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, ooh
I got a new attitude
Ooh, ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, ooh
I got a new attitude
Ooh, ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, ooh
I got a new attitude
Ooh, ooh, ooh, ooh, ooh (Mmm)
Ooh, ooh, ooh, ooh, ooh (Mmm, mmm)
Ooh, ooh, ooh, ooh, ooh
I got a new attitude
Ooh, ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, ooh (From my head to my shoes)
Ooh, ooh, ooh, ooh, ooh (I got a new)
I got a new attitude (I got a new)
Ooh, ooh, ooh, ooh, ooh (New attitude)
Ooh, ooh, ooh, ooh, ooh (Everything about has changed)
Ooh, ooh, ooh, ooh, ooh (Baby)
I got a new attitude (I got a new)
Ooh, ooh, ooh, ooh, ooh (I got a new)
Ooh, ooh, ooh, ooh, ooh (Feelin', feelin')
Ooh, ooh, ooh, ooh, ooh (I feel it, I got a new attitude)
I got a new attitude
Ooh, ooh, ooh, ooh, ooh (Oh... Ooh...)
Ooh, ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, ooh
I got a new attitude (I got a new)
Ooh, ooh, ooh, ooh, ooh (Attitude)
Ooh, ooh, ooh, ooh, ooh (Said I got a new)
Ooh, ooh, ooh, ooh, ooh (New attitude)
I got a new attitude
Ooh, ooh, ooh, ooh, ooh",
Where I'm Headed,"Lene Marlin,Marion Ravn","norwegian pop,candy pop",Lene Marlin,"I've got a suitcase in my hand
Filled with stuff most precious to me
Sidewalk brings my feet
Wherever they're headed.
There is no directions given
Just some trust in human mind to rely on
And to hold on to.
Honestly don't know where I'll end up at last
Won't even count the days.
One thing I sure know I won't move so fast
My mind in complete haze.

I pass by
Don't dare to stop
When there's someone I see
There's no one here but me
I'm fooled by something inside my head.
If I lay down now
I might seem kinda dead
Just keep on wasting time.

Scary thoughts and frightening sounds
In my mind still I try avoid it
Heading through this hope not one-way alley
I can't really sense my surroundings
Seems to be all dark around.
Nothing there, to lighten up my way.
Honestly don't know where I'll end up at last
Won't even count the days.
One thing I sure know I won't move so fast.
My mind is complete haze.

I pass by
Don't dare to stop
When there's someone I see
There's no one here but me
I'm fooled by something inside my head
If I lay down now
I might seem kinda dead
Just keep on wasting time.",
Over It,Katharine McPhee,"idol,post-teen pop","Josh Alexander, Billy Steinberg, Ruth-Anne Cunningham","I'm over your lies,
and I'm over your games.
I'm over you asking me,
when you know I'm not okay.
You call me at night,
and I pick up the phone.
And though you've been telling me,
I know you're not alone.
oh..

That's why
(your eyes)
I'm over it
(your smile)
I'm over it
(realize)
I'm over it
I'm over it
I'm over..

Wanting you,
to be wanting me.
No that ain't no way to be.
How I feel, read my lips,
because I'm so over..
Moving on, it's my time,
you never were a friend of mine.
Hurt at first, a little bit,
but now I'm so over.
I'm so over it..

I'm over your hands,
and I'm over your mouth.
Trying to drag me down,
and fill me with self-doubt.
oh..

That's why,
(your words)
I'm over it
(so sure)
I'm over it
(I'm not your girl)
I'm over it
I'm over it
I'm over...

Wanting you,
to be wanting me.
No that ain't no way to be.
How I feel, read my lips,
because I'm so over..
Moving on, it's my time,
you never were a friend of mine.
Hurt at first, a little bit,
but now I'm so over.
I'm so over it..

Don't call,
don't come by,
ain't no use,
don't ask me why,
you'll never change,
there'll be no more crying in the rain.

Wanting you,
to be wanting me.
No that ain't no way to be.
How I feel, read my lips,
because I'm so over..
Moving on, it's my time,
you never were a friend of mine.
Hurt at first, a little bit,
but now I'm so over.
I'm so over it..

I'm so over it....
I'm over it....

Wanting you,
to be wanting me.
No that ain't no way to be.
How I feel, read my lips,
because I'm so over..
Moving on, it's my time,
you never were a friend of mine.
Hurt at first, a little bit,
but now I'm so over.
I'm so over it..",
